caller,callee,timestamp,duration_seconds,tower_id,location
98110-44231,98110-44232,2026-01-30 21:15:00,45,KJR-04,Kalinjur Town
98110-44232,98110-44231,2026-01-30 21:18:00,30,KJR-04,Kalinjur Town
98110-44231,98110-44233,2026-01-31 09:20:00,120,KJR-04,Kalinjur Town
98110-44231,98110-44233,2026-01-31 11:45:00,95,KJR-04,Kalinjur Town
98110-44231,98110-44233,2026-01-31 18:30:00,60,KJR-04,Kalinjur Town
98110-44233,97700-88123,2026-01-30 19:05:00,40,KJR-04,Kalinjur Town
98110-44231,97700-88124,2026-01-30 19:40:00,25,KJR-04,Kalinjur Town
98220-11456,91234-55210,2026-01-30 20:05:00,15,VNT-01,Vantara HQ
91234-55210,98110-44231,2026-01-30 18:45:00,0,KJR-04,Kalinjur - missed call
91234-55211,98220-11456,2026-01-29 22:10:00,180,VNT-02,Vantara
97700-88123,98110-44231,2026-01-31 00:42:00,55,RDP-01,Rudrapuram
97700-88124,98110-44231,2026-01-30 20:42:00,20,RDP-01,Rudrapuram
